Campaign,Campaign Daily Budget,Campaign Type,Bid Strategy Type,Networks,EU political ads,Desktop Bid adj.,Mobile Bid adj.,Tablet Bid adj.,Start Date,End Date,Ad Group,Max CPC,Keyword,Criterion Type,Ad Type,Final URL,Headline 1,Headline 2,Headline 3,Description 1,Description 2,Path 1,Path 2,PhoneNumber,VerificationURL,Dynamic Search Ad Description 1,Dynamic Search Ad Description 2,Sitelink Text,Sitelink Description 1,Sitelink Description 2,Sitelink Final URL,Callout Text,Structured Snippet Header,Structured Snippet Values,Price Extension Type,Price Extension Price Qualifier,Price Extension Item Header,Price Extension Item Price,Price Extension Item Final URL,Promotion Target,Promotion Discount Modifier,Promotion Percent Off,App ID,App Store,App Link Text,App Final URL,Image Asset Name,Image Asset URL,Location
Search-20251211-2230,100,Search,Maximize Conversions,Google search,No,-100%,0%,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 4,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 5,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 6,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 7,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 8,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,contact united airline help,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,contact united airline quick,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,delta phone number online,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,contact united airline help,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,contact united airline support,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,contact united airline service,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,contact united airline service,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,contact united airline service,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,delta phone number today,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,contact united airline near me,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,contact united airline help,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,contact united airline,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,buy contact united airline,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,delta phone number online,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,contact united airline online,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,delta phone number fast,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,delta phone number fast,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,delta phone number fast,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,contact united airline online,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,contact united airline,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,delta phone number price,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,contact united airline support,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,contact united airline,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,delta phone number price,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,delta phone number quick,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,delta phone number quick,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,delta phone number top,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,delta phone number service,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,delta phone number quick,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,contact united airline support,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,contact united airline local,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,buy contact united airline,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,delta phone number top,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,delta phone number price,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,delta phone number service,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,contact united airline online,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,delta phone number top,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 1,,contact united airline price,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,buy contact united airline,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,contact united airline get,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,delta phone number quality,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,delta phone number quality,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,delta phone number now,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,delta phone number today,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,contact united airline price,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,contact united airline get,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,contact united airline get,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,delta phone number quality,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,contact united airline top,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,delta phone number now,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,contact united airline local,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,delta phone number today,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,contact united airline local,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,contact united airline near me,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,contact united airline price,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,delta phone number now,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,delta phone number help,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,contact united airline try,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,delta phone number service,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,delta phone number help,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,contact united airline near me,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,contact united airline top,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,contact united airline today,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,contact united airline top,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,contact united airline try,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,delta phone number help,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,contact united airline quality,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,delta phone number support,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,contact united airline today,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,delta phone number support,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,delta phone number support,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,delta phone number try,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,get contact united airline,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,contact united airline start,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,contact united airline try,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 2,,contact united airline today,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,buy delta phone number,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,delta phone number get,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,delta phone number,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,delta phone number,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,contact united airline start,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,find delta phone number,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,contact united airline quality,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,buy delta phone number,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,get contact united airline,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,contact united airline start,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,contact united airline now,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,contact united airline fast,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,buy delta phone number,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,delta phone number get,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,delta phone number local,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,delta phone number try,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,contact united airline quality,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,contact united airline quick,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,delta phone number get,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,delta phone number start,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,find contact united airline,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,delta phone number,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,find contact united airline,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,delta phone number local,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,get contact united airline,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,delta phone number local,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,delta phone number near me,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,find delta phone number,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,find contact united airline,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,delta phone number online,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,contact united airline fast,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,delta phone number try,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,delta phone number start,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,delta phone number near me,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,get delta phone number,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,delta phone number start,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,find delta phone number,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 3,,get delta phone number,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 4,,get delta phone number,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 4,,delta phone number near me,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 4,,airline number near me,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 4,,airline number near me,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 4,,top airline number,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 4,,contact united airline now,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 4,,airline number near me,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 4,,top airline number,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 4,,contact united airline fast,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 4,,contact united airline now,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 4,,top airline number,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 4,,contact united airline quick,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search-20251211-2230,,,,,,,,,,,Ad Group 4,,24/7 airline number,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
